ID;Category;Name;Method;MethodArgument;RegistryPath;RegistryItem;ClassName;Namespace;Property;DefaultValue;RecommendedValue;Operator;Severity
18.10.56.3.9.2;Administrative Templates: Windows Components;Remote Desktop Session Host: Security: Require secure RPC communication;Registry;;HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services;fEncryptRPCTraffic;;;;0;1;=;Medium
18.10.56.3.9.3;Administrative Templates: Windows Components;Remote Desktop Session Host: Security: Require use of specific security layer for remote (RDP) connections;Registry;;HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services;SecurityLayer;;;;0;2;=;Medium
18.10.56.3.9.4;Administrative Templates: Windows Components;Remote Desktop Session Host: Security: Require user authentication for remote connections by using Network Level Authentication;Registry;;HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services;UserAuthentication;;;;0;1;=;Medium
18.10.56.3.9.5;Administrative Templates: Windows Components;Remote Desktop Session Host: Security: Set client connection encryption level;Registry;;HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services;MinEncryptionLevel;;;;0;3;=;Medium
18.10.56.3.11.1;Administrative Templates: Windows Components;Remote Desktop Session Host: Temporary folders: Do not delete temp folders upon exit;Registry;;HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services;DeleteTempDirsOnExit;;;;1;1;=;Medium
18.10.56.3.11.2;Administrative Templates: Windows Components;Remote Desktop Session Host: Temporary folders: Do not use temporary folders per session;Registry;;HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services;PerSessionTempDir;;;;1;1;=;Medium
18.10.57.1;Administrative Templates: Windows Components;RSS Feeds: Prevent downloading of enclosures;Registry;;HKLM:\Software\Policies\Microsoft\Internet Explorer\Feeds;DisableEnclosureDownload;;;;0;1;=;Medium
18.10.58.3;Administrative Templates: Windows Components;Search: Allow indexing of encrypted files;Registry;;HKLM:\SOFTWARE\Policies\Microsoft\Windows\Windows Search;AllowIndexingEncryptedStoresOrItems;;;;1;0;=;Medium
18.10.79.2;Administrative Templates: Windows Components;Windows Ink Workspace: Allow Windows Ink Workspace;Registry;;HKLM:\Software\Policies\Microsoft\WindowsInkWorkspace;AllowWindowsInkWorkspace;;;;1;1;<=;Medium
18.10.80.1;Administrative Templates: Windows Components;Windows Installer: Allow user control over installs;Registry;;HKLM:\Software\Policies\Microsoft\Windows\Installer;EnableUserControl;;;;1;0;=;Medium
18.10.80.2;Administrative Templates: Windows Components;Windows Installer: Always install with elevated privileges;Registry;;HKLM:\Software\Policies\Microsoft\Windows\Installer;AlwaysInstallElevated;;;;0;0;=;Medium
