ID,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,ClassName,Namespace,Property,DefaultValue,RecommendedValue,Operator,Severity
1.1.1,Account Policies,Length of password history maintained,accountpolicy,,,,,,,,24,>=,Low
1.1.2,Account Policies,Maximum password age,accountpolicy,,,,,,,42,365,<=!0,Low
1.1.3,Account Policies,Minimum password age,accountpolicy,,,,,,,0,1,>=,Low
1.1.5,Account Policies,Password must meet complexity requirements,secedit,System Access\PasswordComplexity,,,,,,0,1,=,Medium
1.1.7,Account Policies,Store passwords using reversible encryption,secedit,System Access\ClearTextPassword,,,,,,0,0,=,High
1.2.1,Account Policies,Account lockout duration,accountpolicy,,,,,,,30,15,>=,Low
1.2.2,Account Policies,Account lockout threshold,accountpolicy,,,,,,,Never,5,<=!0,Low
1.2.4,Account Policies,Reset account lockout counter,accountpolicy,,,,,,,30,15,>=,Low
2.2.1,User Rights Assignment,Access Credential Manager as a trusted caller,accesschk,SeTrustedCredManAccessPrivilege,,,,,,,,=,Medium
2.2.4,User Rights Assignment,Act as part of the operating system,accesschk,SeTcbPrivilege,,,,,,,,=,Medium
2.2.5,User Rights Assignment,Add workstations to domain (DC),accesschk,SeMachineAccountPrivilege,,,,,,NT AUTHORITY\Authenticated Users,BUILTIN\Administrators,=,Medium
2.2.6,User Rights Assignment,Adjust memory quotas for a process,accesschk,SeIncreaseQuotaPrivilege,,,,,,BUILTIN\Administrators,,,
2.2.7,User Rights Assignment,Allow log on locally (DC only),accesschk,SeInteractiveLogonRight,,,,,,BUILTIN\Backup Operators,,,
2.2.9,User Rights Assignment,Allow log on through Remote Desktop Services (DC),accesschk,SeRemoteInteractiveLogonRight,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.11,User Rights Assignment,Back up files and directories,accesschk,SeBackupPrivilege,,,,,,BUILTIN\Administrators,,,
2.2.12,User Rights Assignment,Change the system time,accesschk,SeSystemTimePrivilege,,,,,,BUILTIN\Administrators,,,
2.2.13,User Rights Assignment,Change the time zone,accesschk,SeTimeZonePrivilege,,,,,,BUILTIN\Device Owners,,,
2.2.14,User Rights Assignment,Create a pagefile,accesschk,SeCreatePagefilePrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.15,User Rights Assignment,Create a token object,accesschk,SeCreateTokenPrivilege,,,,,,,,=,Medium
2.2.16,User Rights Assignment,Create global objects,accesschk,SeCreateGlobalPrivilege,,,,,,NT AUTHORITY\SERVICE,,,
2.2.17,User Rights Assignment,Create permanent shared objects,accesschk,SeCreatePermanentPrivilege,,,,,,,,=,Medium
2.2.18,User Rights Assignment,Create symbolic links (DC),accesschk,SeCreateSymbolicLinkPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.20,User Rights Assignment,Debug programs,accesschk,SeDebugPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.21,User Rights Assignment,Deny access to this computer from the network (DC),accesschk,SeDenyNetworkLogonRight,,,,,,BUILTIN\Guests,BUILTIN\Guests,=,Medium
2.2.23,User Rights Assignment,Deny log on as a batch job,accesschk,SeDenyBatchLogonRight,,,,,,,BUILTIN\Guests,=,Medium
2.2.24,User Rights Assignment,Deny log on as a service,accesschk,SeDenyServiceLogonRight,,,,,,,BUILTIN\Guests,=,Medium
2.2.25,User Rights Assignment,Deny log on locally,accesschk,SeDenyInteractiveLogonRight,,,,,,BUILTIN\Guests,BUILTIN\Guests,=,Medium
2.2.26,User Rights Assignment,Deny log on through Remote Desktop Services (DC),accesschk,SeDenyRemoteInteractiveLogonRight,,,,,,,BUILTIN\Guests,=,Medium
2.2.28,User Rights Assignment,Enable computer and user accounts to be trusted for delegation (DC),accesschk,SeEnableDelegationPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.30,User Rights Assignment,Force shutdown from a remote system,accesschk,SeRemoteShutdownPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.31,User Rights Assignment,Generate security audits,accesschk,SeAuditPrivilege,,,,,,NT AUTHORITY\NETWORK SERVICE,,,
2.2.32,User Rights Assignment,Impersonate a client after authentication (DC),accesschk,SeImpersonatePrivilege,,,,,,NT AUTHORITY\SERVICE,,,
2.2.34,User Rights Assignment,Increase scheduling priority,accesschk,SeIncreaseBasePriorityPrivilege,,,,,,Window Manager\Window Manager Group,,,
2.2.35,User Rights Assignment,Load and unload device drivers,accesschk,SeLoadDriverPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.36,User Rights Assignment,Lock pages in memory,accesschk,SeLockMemoryPrivilege,,,,,,,,=,Medium
2.2.40,User Rights Assignment,Modify an object label,accesschk,SeReLabelPrivilege,,,,,,,,=,Medium
2.2.41,User Rights Assignment,Modify firmware environment values,accesschk,SeSystemEnvironmentPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.42,User Rights Assignment,Perform volume maintenance tasks,accesschk,SeManageVolumePrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.43,User Rights Assignment,Profile single process,accesschk,SeProfileSingleProcessPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.44,User Rights Assignment,Profile system performance,accesschk,SeSystemProfilePrivilege,,,,,,NT SERVICE\WdiServiceHost,,,
2.2.45,User Rights Assignment,Replace a process level token,accesschk,SeAssignPrimaryTokenPrivilege,,,,,,NT AUTHORITY\NETWORK SERVICE,,,
2.2.46,User Rights Assignment,Restore files and directories,accesschk,SeRestorePrivilege,,,,,,BUILTIN\Backup Operators,,,
2.2.47,User Rights Assignment,Shut down the system,accesschk,SeShutdownPrivilege,,,,,,BUILTIN\Backup Operators,,,
2.2.48,User Rights Assignment,Synchronize directory service data (DC),accesschk,SeSyncAgentPrivilege,,,,,,,,=,Medium
2.2.49,User Rights Assignment,Take ownership of files or other objects,accesschk,SeTakeOwnershipPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
